years,text_general_code,lat,lon
1,Weapon Violations,40.036389,-75.130477
1,All Other Offenses,39.969532,-75.16635
1,Thefts,39.94007,-75.166412
1,Other Assaults,39.979586,-75.171149
1,Thefts,39.976134,-75.160229
1,Thefts,39.977872,-75.163073
1,Thefts,40.04127,-75.075602
1,Disorderly Conduct,39.990907,-75.122057
1,Thefts,39.975724,-75.178874
1,Thefts,40.01243,-75.069032
1,Arson,39.975197,-75.266605
1,Thefts,39.959754,-75.235121
1,Thefts,40.02849,-75.099584
1,Thefts,39.959005,-75.217184
1,Other Assaults,39.995626,-75.125869
1,Arson,40.040153,-75.1769
1,Fraud,39.981381,-75.148657
1,Thefts,39.965767,-75.246174
1,Theft from Vehicle,39.972396,-75.142238
1,Thefts,39.965636,-75.231825
1,Robbery No Firearm,40.020219,-75.077126
1,Other Assaults,39.968878,-75.236743
1,Theft from Vehicle,39.940641,-75.171071
1,Thefts,39.994678,-75.094481
1,Theft from Vehicle,39.953878,-75.194694
1,Thefts,40.006611,-75.213489
1,Theft from Vehicle,39.960435,-75.228597
1,Theft from Vehicle,39.949959,-75.223059
1,Robbery Firearm,39.986415,-75.169577
1,Thefts,40.046875,-75.07033
1,Other Assaults,39.983601,-75.160204
1,Thefts,40.032092,-75.084733
1,Other Assaults,39.915826,-75.177232
1,Theft from Vehicle,39.975158,-75.249292
1,Motor Vehicle Theft,39.925513,-75.159205
1,Fraud,40.020515,-75.135353
1,Thefts,40.017622,-75.085511
1,Thefts,40.032924,-75.032986
1,Fraud,39.883852,-75.230706
1,Thefts,39.983081,-75.163557
1,Thefts,39.975478,-75.153582
1,Thefts,39.958653,-75.214022
1,Thefts,39.955691,-75.189919
1,Thefts,39.965085,-75.205535
1,Thefts,39.956487,-75.196171
1,Thefts,39.958779,-75.209228
1,Thefts,39.982888,-75.163599
1,Thefts,39.931814,-75.188667
1,Thefts,39.935917,-75.177152
1,Thefts,39.9337,-75.177542
1,Thefts,39.934427,-75.179686
1,Rape,40.055312,-75.073315
1,Rape,39.916929,-75.170533
1,Rape,39.935697,-75.152077
1,Other Assaults,40.007772,-75.102881
1,Other Assaults,40.003593,-75.103664
1,Fraud,40.049404,-75.067901
1,Fraud,39.925099,-75.17941
1,Thefts,40.087979,-75.023527
1,Thefts,39.951586,-75.156776
1,Fraud,39.924675,-75.171669
1,Rape,40.023616,-75.115979
1,Thefts,39.950587,-75.193967
1,All Other Offenses,39.990907,-75.122057
1,Thefts,40.112079,-75.023628
1,Other Assaults,39.943674,-75.165577
1,Fraud,39.877347,-75.247884
1,Theft from Vehicle,39.990417,-75.127084
1,Disorderly Conduct,39.941788,-75.150781
1,Fraud,39.91646,-75.159099
1,Thefts,39.918509,-75.185085
1,Thefts,40.045349,-75.098186
1,Thefts,39.996151,-75.171906
1,Thefts,39.94169,-75.150014
1,Other Assaults,40.036367,-75.085655
1,Thefts,39.929674,-75.162438
1,Thefts,39.923506,-75.143638
1,Thefts,39.927906,-75.177883
1,Thefts,40.067016,-75.156289
1,Thefts,40.018208,-75.11093
1,Thefts,40.004502,-75.150953
1,Thefts,39.947753,-75.16079
1,Other Assaults,39.944004,-75.223069
1,Fraud,40.086168,-74.971153
1,Thefts,39.946881,-75.144875
1,Robbery No Firearm,39.950324,-75.226958
1,Thefts,40.100745,-75.007961
1,Fraud,39.944312,-75.228316
1,Fraud,39.952665,-75.21947
1,Fraud,40.017651,-75.064964
1,Disorderly Conduct,39.964669,-75.222027
1,Thefts,40.030616,-75.078742
1,Fraud,40.102131,-75.029016
1,Fraud,40.039164,-75.122354
1,Thefts,39.942767,-75.157933
1,Fraud,40.067622,-75.178264
1,Thefts,40.035317,-75.121299
1,Fraud,39.995447,-75.125909
